"commentsCount","likesCount","videoViewCount","timestamp","videoDuration"
"1476","445936","4098219","2023-12-06T17:35:34.000Z","27.8"
"3116","840907","3470743","2023-12-04T19:17:15.000Z","8.934"
"8439","1031626","5145514","2023-11-11T16:04:58.000Z","22.934"
"7903","1834495","11015974","2023-11-09T17:45:05.000Z","26.934"
"6662","1086115","6187716","2023-10-31T15:29:53.000Z","90.034"
"2602","740428","7646145","2023-09-12T20:43:15.000Z","17.466"
"4204","955034","7757266","2023-09-15T19:22:03.000Z","36.966"
"2719","632364","3448783","2023-12-02T21:57:15.000Z","9.3"
"10368","3602447","14846303","2023-09-28T23:58:45.000Z","10.657"
"7502","1832334","15357543","2023-07-18T22:53:02.000Z","13.966"
"1730","593150","6014633","2023-06-14T16:29:41.000Z","16.021"
"13887","5109701","25090182","2023-09-28T18:20:51.000Z","6.176"
"4375","1125470","9825495","2023-09-22T18:27:46.000Z","32.552"
"13616","2852027","16779952","2023-07-08T20:54:29.000Z","9.7"
"2175","580458","5136820","2023-08-07T23:52:31.000Z","14.79"
"1821","333173","2194347","2023-12-01T23:29:25.000Z","8.426"
"3970","1322208","7163477","2023-08-31T16:37:49.000Z","5.133"
"9461","1922223","14977607","2023-11-08T21:34:52.000Z","43.142"
"11937","3433360","25143599","2023-11-19T05:02:39.000Z","38.434"
"8129","2350254","15401655","2023-08-31T17:07:38.000Z","11.133"
"3189","649761","4081424","2023-12-20T20:34:52.000Z","33.552"
"6089","1167434","15405455","2023-05-07T22:39:27.000Z","16.533"
"3789","1243060","11094341","2023-08-31T18:49:05.000Z","6.866"
"8657","2175995","11211557","2023-05-04T00:46:29.000Z","5.466"
"20131","4184916","21941068","2023-09-29T17:20:42.000Z","12.445"
"9465","2819916","20338988","2023-09-18T21:26:10.000Z","84.914"
"42578","13959708","68488682","2023-02-02T18:01:31.000Z","34.1"
"2691","1049625","9226699","2023-05-05T19:04:18.000Z","8.666"
"19657","5627587","33053715","2022-11-28T03:42:29.000Z","28.433"
"13067","2502977","17697285","2023-10-27T21:04:21.000Z","64.634"
"6640","1485437","9763965","2023-04-19T18:36:05.000Z","34.7"
"7777","1932385","12331266","2023-08-21T15:59:49.000Z","9.133"
"12440","2869997","13816517","2022-09-13T16:26:02.000Z","50.6"
"14591","4844528","27159379","2023-05-02T03:55:57.000Z","9"
"9199","2813962","22397023","2022-07-14T01:00:02.000Z","21.066"
"7042","2257048","14433236","2022-09-13T19:54:46.000Z","30.1"
"5532","1947945","10485008","2022-10-29T18:05:40.000Z","26.266"
"6595","1804051","10604530","2023-06-08T03:40:13.000Z","17.407"
"21363","5998081","33257788","2022-06-08T21:18:57.000Z","90"
"9634","1346170","8565822","2022-06-20T17:29:38.000Z","19.3"
"5148","1848606","20572959","2023-05-01T18:02:18.000Z","34.933"
"5175","2658235","13119968","2022-06-07T03:31:45.000Z","27.933"
"13598","1529317","9340283","2022-10-07T21:23:39.000Z","23.1"
"4866","758969","5241092","2022-07-05T15:38:46.000Z","58.366"
"12689","2793700","15065032","2022-08-08T21:33:42.000Z","22.4"
"10622","2351099","14628200","2022-07-01T17:48:42.000Z","27.9"
"24400","4108603","22668212","2022-08-26T04:40:35.000Z","49.433"
"15813","2731324","13275376","2022-10-14T21:35:42.000Z","14.866"
"3672","1078510","7044580","2022-07-06T16:09:44.000Z","21.233"
"14328","1692131","9970585","2022-07-02T16:26:06.000Z","19.4"
"10379","3888130","22359342","2022-09-10T18:54:47.000Z","14.533"
"25713","1981404","17993397","2022-09-21T16:31:54.000Z","30.033"
